City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Zaraza,VE,9.3503,-65.3245,77.05,84,100,3.67,overcast clouds
295,Luanda,AO,-8.8368,13.2343,73.78,77,16,5.14,few clouds
296,Bayeux,BR,-7.125,-34.9322,79.43,83,20,4.61,few clouds
297,Kushmurun,KZ,52.4503,64.6311,46.67,44,100,6.6,overcast clouds
298,Bardiyah,LY,31.7561,25.0865,69.57,72,15,7.09,few clouds
299,Kumylzhenskaya,RU,49.8809,42.5898,36.07,76,63,14.09,broken clouds
300,Borovskoy,KZ,53.8,64.15,45.66,76,100,3.53,overcast clouds
301,Contamana,PE,-7.3333,-75.0167,79.92,69,7,3.42,clear sky
302,Ferme-Neuve,CA,46.7001,-75.4493,37.18,86,14,2.26,few clouds
303,Rudnichnyy,RU,59.617,52.4703,29.93,90,100,7.52,overcast clouds
304,Maglaj,BA,44.5492,18.0967,27.32,82,0,2.95,clear sky
305,Locri,IT,38.2414,16.2623,62.55,89,100,5.79,light rain
306,Gornopravdinsk,RU,60.05,69.9,33.67,99,100,4.41,moderate rain
307,San Vicente De Canete,PE,-13.0751,-76.3835,62.33,82,9,1.66,clear sky
308,General Roca,AR,-39.0333,-67.5833,66.61,36,100,39.41,overcast clouds
309,Fort-Shevchenko,KZ,44.5086,50.263,54.45,85,64,8.37,broken clouds
310,Rundu,NA,-17.9333,19.7667,71.29,66,8,5.17,clear sky
311,Elizabeth City,US,36.2946,-76.2511,68.02,87,1,6.91,clear sky
312,Bafra,TR,41.5678,35.9069,54.82,70,98,6.87,overcast clouds
313,Angoche,MZ,-16.2325,39.9086,75.96,90,1,6.58,clear sky
314,Nagorsk,RU,59.3172,50.8078,29.77,82,100,8.7,overcast clouds
315,Torello,ES,42.0463,2.2668,56.98,80,0,3.11,clear sky
316,Harindanga,IN,22.0383,88.3214,82.38,70,5,3.65,clear sky
317,Nizwa,OM,22.9333,57.5333,76.24,46,6,1.43,clear sky
318,Santo Domingo,DO,18.5001,-69.9886,74.88,88,17,4.92,few clouds
319,Holbeach,GB,52.804,0.0144,53.56,92,2,5.99,clear sky
320,Inirida,CO,3.8653,-67.9239,74.61,97,97,2.33,overcast clouds
321,Buta,CD,2.7858,24.73,69.48,100,100,1.52,light rain
322,Helmstedt,DE,52.2279,11.0099,43.95,61,0,2.84,clear sky
323,Nurota,UZ,40.5614,65.6886,41.09,27,0,6.8,clear sky
324,Axim,GH,4.8699,-2.2405,77.32,89,55,5.14,broken clouds
325,Gazalkent,UZ,41.5581,69.7708,41.36,28,0,5.14,clear sky
326,Paracuru,BR,-3.41,-39.0306,81.1,76,1,12.41,clear sky
327,Meulaboh,ID,4.1363,96.1285,81.48,73,89,2.51,overcast clouds
328,Nador,MA,35.174,-2.9287,62.85,88,40,1.14,scattered clouds
329,Xique-Xique,BR,-10.8218,-42.7263,74.97,80,100,6.89,overcast clouds
330,Qasigiannguit,GL,68.8193,-51.1922,0.61,79,79,6.4,broken clouds
331,Putyatino,RU,54.16,41.1169,31.57,73,93,13.18,overcast clouds
332,Izhma,RU,65.0083,53.9113,27.36,90,100,5.53,overcast clouds
333,Baft,IR,29.234,56.6057,49.28,38,0,4.99,clear sky
334,Veisiejai,LT,54.1,23.7,33.94,90,41,6.29,scattered clouds
335,Hampton,US,37.0299,-76.3452,68.02,82,1,9.22,clear sky
336,Taltal,CL,-25.4,-70.4833,58.05,85,36,1.5,scattered clouds
337,Vila Do Maio,CV,15.1333,-23.2167,77.79,75,32,14.5,scattered clouds
338,Ritchie,ZA,-29.038,24.6028,51.01,84,0,11.68,clear sky
339,Akropong,GH,5.9746,-0.0854,74.35,95,18,2.84,few clouds
340,La Asuncion,VE,11.0333,-63.8628,78.49,86,97,13.04,overcast clouds
341,Rio Grande,BR,-32.035,-52.0986,48.94,70,0,9.33,clear sky
